game_index,pair_index,seed,grid_size,superko_mode,black_slot,white_slot,black_agent,white_agent,winner,truncated,plies,duration_seconds,black_area,white_area
172,86,20260911,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.6200784998945892,6,3
173,86,20260911,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.43480209982953966,4,7
174,87,20260912,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5196023997850716,6,3
175,87,20260912,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,7,0.37434379989281297,0,5
176,88,20260913,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.28418190008960664,5,0
177,88,20260913,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,7,0.37873019999824464,6,5
178,89,20260914,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.526358800008893,6,3
179,89,20260914,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4338201000355184,3,7
180,90,20260915,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,DRAW,False,10,0.5670934000518173,4,4
181,90,20260915,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.3860907000489533,5,8
182,91,20260916,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.38581800018437207,9,5
183,91,20260916,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.4662707999814302,5,8
184,92,20260917,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1347281001508236,3,0
185,92,20260917,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2765785998199135,0,5
186,93,20260918,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.40502150007523596,7,0
187,93,20260918,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.3508187001571059,5,7
188,94,20260919,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.25977379991672933,5,0
189,94,20260919,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.03981119999662042,0,0
190,95,20260920,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.26594959991052747,5,0
191,95,20260920,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.043737699976190925,0,0
192,96,20260921,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.25271730008535087,5,0
193,96,20260921,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.32807040004990995,4,7
194,97,20260922,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5285551999695599,6,3
195,97,20260922,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,4,0.16868779994547367,3,3
196,98,20260923,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5682190998923033,8,6
197,98,20260923,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.3127802999224514,4,6
198,99,20260924,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.34992259996943176,5,0
199,99,20260924,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4126806000713259,5,7
